,num,name
0,2,Forest
1,1,Island
2,1,Mountain
3,2,Swamp
4,3,Breeding Pool
5,2,Mystical Dispute
6,2,Cauldron Familiar
7,2,Murderous Rider
8,4,Gilded Goose
9,4,Once Upon a Time
10,2,Trail of Crumbs
11,4,Wicked Wolf
12,4,"Oko, Thief of Crowns"
13,3,Witch's Oven
14,4,Fabled Passage
15,2,"Korvold, Fae-Cursed King"
16,3,Stomping Ground
17,2,Temple of Malady
18,4,Aether Gust
19,4,Noxious Grasp
20,4,Overgrown Tomb
21,2,Watery Grave
22,3,Thrashing Brontodon
23,3,Duress
24,1,"Ugin, the Ineffable"
25,2,Paradise Druid
26,4,Mayhem Devil
27,1,"Nicol Bolas, Dragon-God, "
28,4,Shock
29,1,Forest
30,1,Island
31,1,Mountain
32,1,Swamp
33,1,Blood Crypt
34,3,Breeding Pool
35,4,Once Upon a Time
36,2,Fabled Passage
37,2,Assassin's Trophy
38,2,Find-Finality
39,2,Steam Vents
40,3,Stomping Ground
41,2,Temple of Epiphany
42,1,Temple of Malady
43,1,Aether Gust
44,1,Agent of Treachery
45,1,Cavalier of Gales
46,2,Cloudkin Seer
47,2,"Chandra, Awakened Inferno"
48,3,Scampering Scorcher
49,4,Thunderkin Awakener
50,1,Cavalier of Thorns
51,4,Leafkin Druid
52,2,Veil of Summer
53,4,"Omnath, Locus of the Roil"
54,4,Risen Reef
55,3,"Yarok, the Desecrated"
56,2,Field of the Dead
57,3,Negate
58,2,Overgrown Tomb
59,2,Watery Grave
60,1,Temple of Mystery
61,3,"Neoform, "
62,3,Forest
63,1,Island
64,2,Plains
65,1,Swamp
66,4,Breeding Pool
67,4,Gilded Goose
68,2,Once Upon a Time
69,4,Wicked Wolf
70,4,"Oko, Thief of Crowns"
71,4,Fabled Passage
72,3,"Garruk, Cursed Huntsman"
73,1,Assassin's Trophy
74,2,"Vraska, Golgari Queen"
75,2,Find-Finality
76,2,Legion's End
77,2,Noxious Grasp
78,4,Nightpack Ambusher
79,2,Shifting Ceratops
80,3,Veil of Summer
81,4,Overgrown Tomb
82,4,Temple Garden
83,2,Deputy of Detention
84,3,Arboreal Grazer
85,4,Paradise Druid
86,1,Dovin's Veto
87,2,"Tamiyo, Collector of Tales"
88,2,"Teferi, Time Raveler"
89,3,"Tolsimir, Friend to Wolves, "
90,1,Island
91,1,Mountain
92,2,Plains
93,3,Swamp
94,2,Blood Crypt
95,1,Hallowed Fountain
96,3,Revenge of Ravens
97,2,Dance of the Manse
98,4,Doom Foretold
99,3,Outlaws' Merriment
100,4,Golden Egg
101,2,Stonecoil Serpent
102,1,Castle Ardenvale
103,2,Fabled Passage
104,1,Deafening Clarion
105,1,Mortify
106,4,Godless Shrine
107,2,Cavalier of Dawn
108,2,Legion's End
109,3,Noxious Grasp
110,1,"Chandra, Awakened Inferno"
111,3,Sacred Foundry
112,1,Watery Grave
113,2,Ethereal Absolution
114,4,Kaya's Wrath
115,2,Temple of Silence
116,2,Temple of Triumph
117,3,Duress
118,1,"Ugin, the Ineffable"
119,2,Prison Realm
120,4,Oath of Kaya
121,4,Guild Globe
122,2,"Sorcerous Spyglass, "
123,1,Island
124,1,Mountain
125,1,Plains
126,4,Hallowed Fountain
127,3,Fae of Wishes
128,4,Fires of Invention
129,1,Castle Vantress
130,3,Deafening Clarion
131,1,Unmoored Ego
132,2,"Vraska, Golgari Queen"
133,4,Steam Vents
134,3,Temple of Epiphany
135,2,Drawn from Dreams
136,1,"Chandra, Awakened Inferno"
137,4,Sacred Foundry
138,1,Mass Manipulation
139,3,Shimmer of Possibility
140,1,Emergency Powers
141,1,Kaya's Wrath
142,2,"Ugin, the Ineffable"
143,4,"Narset, Parter of Veils"
144,1,Spark Double
145,1,Command the Dreadhorde
146,1,The Elderspell
147,1,"Liliana, Dreadhorde General"
148,3,Sarkhan the Masterless
149,2,Planewide Celebration
150,1,Casualties of War
151,3,"Nicol Bolas, Dragon-God"
152,2,"Tamiyo, Collector of Tales"
153,4,"Teferi, Time Raveler"
154,1,Time Wipe
155,1,"Ashiok, Dream Render"
156,1,Blast Zone
157,4,Interplanar Beacon
158,1,Karn's Bastion
159,1,"Sorcerous Spyglass, "
160,3,Forest
161,1,Plains
162,2,Swamp
163,1,Harmonious Archon
