player,url,deck_name,num,card_name,card_rarity
Jessica_Estephan,https://www.mtgtop8.com/event?e=23942&d=366798&f=ST,Izzet_Flash,2,Shock,common
Andrew_Boncher,https://www.mtgtop8.com/event?e=23810&d=365477&f=ST,Red_Deck_Wins,4,Shock,common
Brandon_Banks,https://www.mtgtop8.com/event?e=23997&d=367303&f=ST,Izzet_Control,10,Island,common
Andrew_C,https://www.mtgtop8.com/event?e=23716&d=364618&f=ST,Sultai_Sacrifice,6,Forest,common
Mx-hejji,https://www.mtgtop8.com/event?e=23796&d=365372&f=ST,Reclamation,1,Forest,common
Harry13,https://www.mtgtop8.com/event?e=24050&d=367817&f=ST,Adventure,4,Forest,common
Abram_Goldstein,https://www.mtgtop8.com/event?e=23739&d=364823&f=ST,Bant_Control,6,Forest,common
Mason_Grode,https://www.mtgtop8.com/event?e=24037&d=367681&f=ST,Jund_Fires,2,Forest,common
Giana_Kaplan,https://www.mtgtop8.com/event?e=24055&d=367887&f=ST,Simic_Ramp_Elemental,10,Forest,common
John_Girardot,https://www.mtgtop8.com/event?e=23942&d=366800&f=ST,Temur_Reclamation,1,Forest,common
msskinbolic,https://www.mtgtop8.com/event?e=24240&d=369208&f=ST,Fires_of_Invention,2,Disenchant,common
Kazaner3000,https://www.mtgtop8.com/event?e=23763&d=365033&f=ST,Selesnya_Aggro,8,Forest,common
Kazaner3000,https://www.mtgtop8.com/event?e=24137&d=368461&f=ST,Fires_of_Invention,8,Forest,common
Ammazzanator,https://www.mtgtop8.com/event?e=23763&d=365041&f=ST,UW_Control,6,Island,common
sebastianpozzo,https://www.mtgtop8.com/event?e=24240&d=369211&f=ST,Jund_Sacrifice,5,Forest,common
Triosk,https://www.mtgtop8.com/event?e=24134&d=368439&f=ST,Rakdos_Aggro,6,Mountain,common
Nebykov_Denis,https://www.mtgtop8.com/event?e=23741&d=364835&f=ST,Bant_Food,5,Forest,common
Philip_Krieger,https://www.mtgtop8.com/event?e=23849&d=365855&f=ST,Izzet_Flash,2,Shock,common
Sebastian_Wilde,https://www.mtgtop8.com/event?e=23838&d=365751&f=ST,Red_Deck_Wins,4,Chandra's Spitfire,uncommon
Ichikawa_Norikazu,https://www.mtgtop8.com/event?e=24066&d=367998&f=ST,Adventure,6,Forest,common
Joshua_Ng,https://www.mtgtop8.com/event?e=24144&d=368506&f=ST,Rakdos_Aggro,6,Mountain,common
