deck_list,players
"<input name=""c"" type=""hidden"" value=""2 Disenchant||2 Island||2 Mountain||1 Plains||4 Hallowed Fountain||4 Mystical Dispute||4 Bonecrusher Giant||4 Fires of Invention||2 Castle Vantress||3 Fabled Passage||2 Kenrith, the Returned King||3 Deafening Clarion||3 Justice Strike||4 Steam Vents||3 Temple of Epiphany||3 Devout Decree||2 Aether Gust||3 Cavalier of Gales||4 Cavalier of Flame||3 Sacred Foundry||3 Tithe Taker||2 Shimmer of Possibility||4 Sphinx of Foresight||3 Temple of Triumph||4 Teferi, Time Raveler||1 Sorcerous Spyglass||""/>","<a class=""player"" href=""search?player=Chris+Rogers"">Chris Rogers</a>"
"<input name=""c"" type=""hidden"" value=""5 Forest||1 Mountain||2 Swamp||4 Blood Crypt||4 Cauldron Familiar||3 Murderous Rider||4 Gilded Goose||4 Trail of Crumbs||2 Wicked Wolf||4 Witch's Oven||1 Castle Locthwain||4 Fabled Passage||3 Lovestruck Beast||3 Korvold, Fae-Cursed King||4 Stomping Ground||3 Noxious Grasp||2 Shifting Ceratops||4 Overgrown Tomb||3 Thrashing Brontodon||2 Duress||3 Massacre Girl||3 Paradise Druid||3 Casualties of War||4 Mayhem Devil||""/>","<a class=""player"" href=""search?player=Billy+Nugraha"">Billy Nugraha</a>"
"<input name=""c"" type=""hidden"" value=""9 Forest||4 Island||4 Breeding Pool||3 Mystical Dispute||3 Wicked Wolf||2 Castle Garenbrig||2 Castle Vantress||2 Fabled Passage||3 Lovestruck Beast||3 Aether Gust||4 Cavalier of Thorns||4 Leafkin Druid||2 Shifting Ceratops||4 Risen Reef||1 End-Raze Forerunners||4 Growth Spiral||3 Hydroid Krasis||4 Temple of Mystery||2 Arboreal Grazer||2 Finale of Devastation||4 Nissa, Who Shakes the World||""/>","<a class=""player"" href=""search?player=albertoSD"">albertoSD</a>"
"<input name=""c"" type=""hidden"" value=""2 Shock||10 Island||4 Mountain||4 Brazen Borrower||3 Gadwick, the Wizened||2 Mystical Dispute||4 Bonecrusher Giant||1 The Royal Scions||2 Castle Vantress||2 Fabled Passage||3 Lava Coil||4 Ionize||4 Steam Vents||4 Opt||4 Temple of Epiphany||2 Disdainful Stroke||4 Brineborn Cutthroat||1 Spectral Sailor||1 Chandra, Awakened Inferno||3 Flame Sweep||3 Negate||3 Quench||3 Ral's Outburst||2 Sorcerous Spyglass||""/>","<a class=""player"" href=""search?player=Jessica+Estephan"">Jessica Estephan</a>"
"<input name=""c"" type=""hidden"" value=""10 Island||4 Mountain||4 Brazen Borrower||4 Gadwick, the Wizened||3 Mystical Dispute||4 Bonecrusher Giant||2 Embercleave||2 Scorching Dragonfire||1 The Royal Scions||2 Castle Vantress||1 Fabled Passage||2 Lava Coil||4 Ionize||4 Steam Vents||4 Opt||4 Temple of Epiphany||1 Disdainful Stroke||3 Aether Gust||4 Brineborn Cutthroat||2 Flame Sweep||2 Fry||2 Negate||2 Quench||2 Ral's Outburst||2 Sorcerous Spyglass||""/>","<a class=""player"" href=""search?player=Brandon+Banks"">Brandon Banks</a>"
"<input name=""c"" type=""hidden"" value=""4 Forest||2 Island||2 Mountain||4 Breeding Pool||3 Brazen Borrower||4 Fae of Wishes||4 Mystical Dispute||4 Bonecrusher Giant||4 Beanstalk Giant||2 Escape to the Wilds||4 Lucky Clover||1 Castle Vantress||1 Lava Coil||1 Expansion-Explosion||4 Steam Vents||4 Stomping Ground||3 Temple of Epiphany||1 Disdainful Stroke||2 Aether Gust||1 Chandra, Awakened Inferno||1 Flame Sweep||1 Mass Manipulation||4 Growth Spiral||3 Hydroid Krasis||1 Fling||3 Temple of Mystery||4 Nissa, Who Shakes the World||1 Planewide Celebration||1 Return to Nature||1 Sorcerous Spyglass||""/>","<a class=""player"" href=""search?player=Harry13"">Harry13</a>"
"<input name=""c"" type=""hidden"" value=""10 Forest||6 Island||4 Breeding Pool||3 Mystical Dispute||2 Castle Garenbrig||2 Castle Vantress||2 Lovestruck Beast||2 Quasiduplicate||4 Aether Gust||1 Agent of Treachery||4 Cavalier of Thorns||4 Leafkin Druid||3 Shifting Ceratops||4 Risen Reef||1 Negate||1 End-Raze Forerunners||4 Growth Spiral||4 Hydroid Krasis||4 Temple of Mystery||2 Arboreal Grazer||2 Finale of Devastation||4 Nissa, Who Shakes the World||2 Return to Nature||""/>","<a class=""player"" href=""search?player=Giana+Kaplan"">Giana Kaplan</a>"
"<input name=""c"" type=""hidden"" value=""1 Disenchant||2 Island||2 Mountain||1 Plains||4 Hallowed Fountain||4 Mystical Dispute||3 Bonecrusher Giant||4 Fires of Invention||3 Castle Vantress||3 Fabled Passage||2 Kenrith, the Returned King||1 Lava Coil||4 Deafening Clarion||3 Justice Strike||4 Steam Vents||3 Temple of Epiphany||1 Devout Decree||2 Aether Gust||3 Cavalier of Gales||4 Cavalier of Flame||2 Sacred Foundry||4 Tithe Taker||3 Shimmer of Possibility||4 Sphinx of Foresight||3 Temple of Triumph||4 Teferi, Time Raveler||1 Time Wipe||""/>","<a class=""player"" href=""search?player=Von+Christopher+Robles"">Von Christopher Robles</a>"
"<input name=""c"" type=""hidden"" value=""1 Forest||2 Island||2 Mountain||4 Breeding Pool||3 Brazen Borrower||3 Mystical Dispute||2 Bonecrusher Giant||3 Scorching Dragonfire||1 Castle Vantress||3 Fabled Passage||4 Chemister's Insight||2 Lava Coil||2 Niv-Mizzet, Parun||4 Expansion-Explosion||4 Steam Vents||4 Stomping Ground||3 Opt||2 Temple of Epiphany||1 Disdainful Stroke||2 Aether Gust||2 Flame Sweep||2 Fry||2 Nightpack Ambusher||2 Shifting Ceratops||4 Negate||4 Wilderness Reclamation||4 Growth Spiral||3 Temple of Mystery||""/>","<a class=""player"" href=""search?player=John+Girardot"">John Girardot</a>"
"<input name=""c"" type=""hidden"" value=""2 Disenchant||2 Island||2 Mountain||1 Plains||4 Hallowed Fountain||4 Mystical Dispute||3 Bonecrusher Giant||4 Fires of Invention||2 Castle Vantress||3 Fabled Passage||2 Kenrith, the Returned King||4 Deafening Clarion||2 Justice Strike||4 Steam Vents||3 Temple of Epiphany||2 Devout Decree||2 Aether Gust||4 Cavalier of Gales||4 Cavalier of Flame||4 Sacred Foundry||4 Tithe Taker||4 Sphinx of Foresight||2 Temple of Triumph||4 Teferi, Time Raveler||2 Time Wipe||1 Sorcerous Spyglass||""/>","<a class=""player"" href=""search?player=rara"">rara</a>"
