player,deck_name,deck_list,url,common,mythic,rare,uncommon
Jessica_Estephan,Izzet_Flash,"2 Shock, 10 Island, 4 Mountain, 4 Brazen Borrower, 3 Gadwick, the Wizened, 2 Mystical Dispute, 4 Bonecrusher Giant, 1 The Royal Scions, 2 Castle Vantress, 2 Fabled Passage, 3 Lava Coil, 4 Ionize, 4 Steam Vents, 4 Opt, 4 Temple of Epiphany, 2 Disdainful Stroke, 4 Brineborn Cutthroat, 1 Spectral Sailor, 1 Chandra, Awakened Inferno, 3 Flame Sweep, 3 Negate, 3 Quench, 3 Ral's Outburst, 2 Sorcerous Spyglass, ",https://www.mtgtop8.com/event?e=23942&d=366798&f=ST,28,6,25,16
Andrew_Boncher,Red_Deck_Wins,"4 Shock, 18 Mountain, 4 Bonecrusher Giant, 3 Embercleave, 4 Embereth Paladin, 4 Rimrock Knight, 3 Castle Embereth, 2 Embereth Shieldbreaker, 4 Fervent Champion, 4 Experimental Frenzy, 4 Lava Coil, 4 Legion Warboss, 4 Runaway Steam-Kin, 2 Chandra, Acolyte of Flame, 3 Fry, 4 Scorch Spitter, 4 Light Up the Stage, ",https://www.mtgtop8.com/event?e=23810&d=365477&f=ST,34,3,25,13
Brandon_Banks,Izzet_Control,"10 Island, 4 Mountain, 4 Brazen Borrower, 4 Gadwick, the Wizened, 3 Mystical Dispute, 4 Bonecrusher Giant, 2 Embercleave, 2 Scorching Dragonfire, 1 The Royal Scions, 2 Castle Vantress, 1 Fabled Passage, 2 Lava Coil, 4 Ionize, 4 Steam Vents, 4 Opt, 4 Temple of Epiphany, 1 Disdainful Stroke, 3 Aether Gust, 4 Brineborn Cutthroat, 2 Flame Sweep, 2 Fry, 2 Negate, 2 Quench, 2 Ral's Outburst, 2 Sorcerous Spyglass, ",https://www.mtgtop8.com/event?e=23997&d=367303&f=ST,25,7,25,18
Andrew_C,Sultai_Sacrifice,"6 Forest, 3 Swamp, 4 Breeding Pool, 4 Cauldron Familiar, 3 Murderous Rider, 4 Gilded Goose, 3 Once Upon a Time, 4 Trail of Crumbs, 2 Wicked Wolf, 4 Oko, Thief of Crowns, 4 Witch's Oven, 2 Castle Locthwain, 2 Lovestruck Beast, 2 Vraska, Golgari Queen, 1 Temple of Malady, 2 Aether Gust, 2 Noxious Grasp, 2 Rotting Regisaur, 2 Veil of Summer, 2 Negate, 4 Overgrown Tomb, 4 Watery Grave, 2 Thrashing Brontodon, 2 Duress, 1 Liliana, Dreadhorde General, 3 Massacre Girl, 1 Casualties of War, ",https://www.mtgtop8.com/event?e=23716&d=364618&f=ST,13,7,35,20
Mx-hejji,Reclamation,"1 Forest, 2 Island, 2 Mountain, 4 Breeding Pool, 2 Brazen Borrower, 2 Mystical Dispute, 4 Bonecrusher Giant, 2 Redcap Melee, 1 Escape to the Wilds, 1 Castle Vantress, 3 Fabled Passage, 3 Chemister's Insight, 2 Niv-Mizzet, Parun, 4 Expansion-Explosion, 4 Steam Vents, 4 Stomping Ground, 3 Opt, 2 Temple of Epiphany, 1 Disdainful Stroke, 3 Aether Gust, 3 Flame Sweep, 4 Nightpack Ambusher, 3 Negate, 2 Quench, 4 Wilderness Reclamation, 2 Cindervines, 4 Growth Spiral, 3 Temple of Mystery, ",https://www.mtgtop8.com/event?e=23796&d=365372&f=ST,18,2,38,17
Harry13,Adventure,"4 Forest, 3 Island, 2 Mountain, 4 Breeding Pool, 3 Brazen Borrower, 4 Fae of Wishes, 2 Mystical Dispute, 4 Bonecrusher Giant, 4 Beanstalk Giant, 3 Escape to the Wilds, 4 Lucky Clover, 1 Expansion-Explosion, 4 Steam Vents, 4 Stomping Ground, 3 Temple of Epiphany, 1 Disdainful Stroke, 2 Aether Gust, 1 Chandra, Awakened Inferno, 1 Flame Sweep, 1 Fry, 1 Negate, 1 Mass Manipulation, 4 Growth Spiral, 3 Hydroid Krasis, 1 Fling, 3 Temple of Mystery, 3 Nissa, Who Shakes the World, 1 Planewide Celebration, 2 Return to Nature, 1 Sorcerous Spyglass, ",https://www.mtgtop8.com/event?e=24050&d=367817&f=ST,18,7,36,14
Abram_Goldstein,Bant_Control,"6 Forest, 5 Island, 4 Breeding Pool, 4 Hallowed Fountain, 1 Mystical Dispute, 4 Gilded Goose, 4 Once Upon a Time, 4 Wicked Wolf, 4 Oko, Thief of Crowns, 2 Castle Vantress, 3 Aether Gust, 3 Veil of Summer, 3 Voracious Hydra, 2 Negate, 4 Temple Garden, 3 Thrashing Brontodon, 3 Mass Manipulation, 2 Growth Spiral, 3 Hydroid Krasis, 4 Nissa, Who Shakes the World, 4 Paradise Druid, 3 Teferi, Time Raveler, ",https://www.mtgtop8.com/event?e=23739&d=364823&f=ST,15,7,39,14
Mason_Grode,Jund_Fires,"2 Forest, 3 Mountain, 1 Swamp, 4 Blood Crypt, 3 Epic Downfall, 3 Murderous Rider, 2 Bonecrusher Giant, 4 Fires of Invention, 3 Beanstalk Giant, 3 Questing Beast, 2 Castle Locthwain, 2 Fabled Passage, 3 Ritual of Soot, 4 Stomping Ground, 4 Temple of Malady, 3 Cavalier of Flame, 1 Chandra, Awakened Inferno, 1 Cavalier of Thorns, 3 Shifting Ceratops, 4 Overgrown Tomb, 2 Thrashing Brontodon, 2 Cry of the Carnarium, 2 Biogenic Ooze, 1 Bedevil, 3 Duress, 2 Ugin, the Ineffable, 3 Bond of Flourishing, 2 Return to Nature, 3 Casualties of War, ",https://www.mtgtop8.com/event?e=24037&d=367681&f=ST,11,10,41,13
Giana_Kaplan,Simic_Ramp_Elemental,"10 Forest, 6 Island, 4 Breeding Pool, 3 Mystical Dispute, 2 Castle Garenbrig, 2 Castle Vantress, 2 Lovestruck Beast, 2 Quasiduplicate, 4 Aether Gust, 1 Agent of Treachery, 4 Cavalier of Thorns, 4 Leafkin Druid, 3 Shifting Ceratops, 4 Risen Reef, 1 Negate, 1 End-Raze Forerunners, 4 Growth Spiral, 4 Hydroid Krasis, 4 Temple of Mystery, 2 Arboreal Grazer, 2 Finale of Devastation, 4 Nissa, Who Shakes the World, 2 Return to Nature, ",https://www.mtgtop8.com/event?e=24055&d=367887&f=ST,29,10,25,11
John_Girardot,Temur_Reclamation,"1 Forest, 2 Island, 2 Mountain, 4 Breeding Pool, 3 Brazen Borrower, 3 Mystical Dispute, 2 Bonecrusher Giant, 3 Scorching Dragonfire, 1 Castle Vantress, 3 Fabled Passage, 4 Chemister's Insight, 2 Lava Coil, 2 Niv-Mizzet, Parun, 4 Expansion-Explosion, 4 Steam Vents, 4 Stomping Ground, 3 Opt, 2 Temple of Epiphany, 1 Disdainful Stroke, 2 Aether Gust, 2 Flame Sweep, 2 Fry, 2 Nightpack Ambusher, 2 Shifting Ceratops, 4 Negate, 4 Wilderness Reclamation, 4 Growth Spiral, 3 Temple of Mystery, ",https://www.mtgtop8.com/event?e=23942&d=366800&f=ST,20,3,33,19
